streamer,title,url,views,duration,created_at,category
Zafeel,rp prout,https://www.twitch.tv/zafeel/clip/ShakingCrazyTitanLitFam-4K1XIK-B5t9-ptOm,5,25.3,2025-05-30T18:59:49Z,Minecraft
Zafeel,ouaf ouaf.,https://www.twitch.tv/zafeel/clip/VictoriousUgliestDoveUncleNox-nbcvAkA1OeCK8bP9,5,22.1,2025-05-30T19:21:27Z,Minecraft
Michou,les gens vannent michou,https://www.twitch.tv/michou/clip/ObedientBrainyWalletBCWarrior-yi8wuuehpOYSAdtR,5,30,2025-05-30T19:30:52Z,Minecraft
Michou,j'ai fait 2h de sieste je suis en forme !! (Crazy Town RP),https://www.twitch.tv/michou/clip/ReliableBombasticHorseANELE-76rU7hSA3NheDR_q,5,25.8,2025-05-30T19:04:00Z,Minecraft
Michou,yooooooooooooooooo,https://www.twitch.tv/michou/clip/LivelyDependableCamelYouWHY-d6VNqeSG_0P9h3F1,5,30,2025-05-30T18:51:03Z,Minecraft
Michou,vahcke,https://www.twitch.tv/michou/clip/WimpyBillowingPeppermintOSfrog--wUuF1-NWWIrg2pu,5,60,2025-05-30T19:08:53Z,Minecraft
Raffale_,jpp,https://www.twitch.tv/raffale_/clip/BlueAnimatedToothWOOP-YahHHQ6-SA2J9-4c,5,26.4,2025-05-30T19:33:27Z,Minecraft
Raffale_,taff est une table askip,https://www.twitch.tv/raffale_/clip/EasyStrongTireGOWSkull-hOot_eelyzVEyAyt,5,14.6,2025-05-30T17:20:13Z,Minecraft
Raffale_,La dyslexie est à son prime,https://www.twitch.tv/raffale_/clip/MuddyStylishSalamanderDogFace-uIkUiZfGKE0xlHnI,5,39.9,2025-05-30T10:43:23Z,Minecraft
RASKA_yt,découverte des tableaux,https://www.twitch.tv/raska_yt/clip/BlitheSaltyDogeWholeWheat-b7QRN5ot7vZa0uAm,5,60,2025-05-30T15:59:46Z,Minecraft
byilhann,pet,https://www.twitch.tv/byilhann/clip/ApatheticMotionlessHedgehogSMOrc-1C_hF9oijtg4jgF4,3,5,2025-05-29T21:28:13Z,Just Chatting
Kaatsup,elle troll,https://www.twitch.tv/kaatsup/clip/LachrymoseDullAyeayeDancingBanana-P3QfEExuwamuwz_W,3,25.7,2025-05-29T20:42:11Z,Minecraft
